City,Country,Continent,Latitude,Longitude,WAQI_Status,WAQI_Source,WAQI_Records,WAQI_Available,OPENWEATHERMAP_Status,OPENWEATHERMAP_Source,OPENWEATHERMAP_Records,OPENWEATHERMAP_Available,REALISTIC_HIGH_POLLUTION_Status,REALISTIC_HIGH_POLLUTION_Source,REALISTIC_HIGH_POLLUTION_Records,REALISTIC_HIGH_POLLUTION_Available,ENHANCED_POLLUTION_SCENARIOS_Status,ENHANCED_POLLUTION_SCENARIOS_Source,ENHANCED_POLLUTION_SCENARIOS_Records,ENHANCED_POLLUTION_SCENARIOS_Available,Total_APIs_Attempted,Successful_APIs,API_Success_Rate,Primary_Data_Source,Data_Quality_Level,Real_Data_Available,Fire_Features_Added,Holiday_Features_Added,CAMS_Status,CAMS_Source,CAMS_Records,CAMS_Available,NOAA_Status,NOAA_Source,NOAA_Records,NOAA_Available
Bucharest,Romania,Europe,44.4268,26.1025,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Belgrade,Serbia,Europe,44.7866,20.4489,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Novi Sad,Serbia,Europe,45.2671,19.8335,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Turin,Italy,Europe,45.0703,7.6869,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Milan,Italy,Europe,45.4642,9.19,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Miskolc,Hungary,Europe,48.1034,20.7784,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Pécs,Hungary,Europe,46.0727,18.233,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Banja Luka,Bosnia and Herzegovina,Europe,44.7666,17.1686,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Košice,Slovakia,Europe,48.7164,21.2611,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Mexicali,Mexico,North_America,32.6245,-115.4523,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Phoenix,USA,North_America,33.4484,-112.074,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Bakersfield,USA,North_America,35.3733,-119.0187,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Fresno,USA,North_America,36.7378,-119.7871,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Los Angeles,USA,North_America,34.0522,-118.2437,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Visalia,USA,North_America,36.3302,-119.2921,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Modesto,USA,North_America,37.6391,-120.9969,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
El Paso,USA,North_America,31.7619,-106.485,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Fairbanks,USA,North_America,64.8378,-147.7164,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
San Bernardino,USA,North_America,34.1083,-117.2898,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Riverside,USA,North_America,33.9533,-117.3962,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Stockton,USA,North_America,37.9577,-121.2908,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Tijuana,Mexico,North_America,32.5149,-117.0382,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Ciudad Juárez,Mexico,North_America,31.6904,-106.4245,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
Guadalajara,Mexico,North_America,20.6597,-103.3496,success,WAQI,365,True,not_attempted,Unknown,0,False,success,Realistic Worst Air Quality Data,365,True,success,Enhanced Pollution Scenarios,30,True,5,5,1.0,WAQI,Excellent,True,True,True,success,Enhanced Realistic CAMS-style Forecast,60,True,success,Enhanced Realistic NOAA GEFS-style Forecast,60,True
